eventdate,ear,load,ena,termica
2013-01-05,57399.71428571428,37879.24268452,31497.714285714286,6400.85298207
2013-01-12,61979.42857142857,35592.349898807144,50248.857142857145,6273.652398725714
2013-01-19,68102.57142857143,36374.54650594857,62022.857142857145,6199.619898725715
2013-01-26,73282.42857142857,36722.31373809286,61366.42857142857,6582.911416582858
2013-02-02,79400.71428571429,37046.162559521435,64274.0,6423.52797611
2013-02-09,85510.85714285714,36706.41072023571,65441.142857142855,6051.277148722857
2013-02-16,88898.57142857143,40429.48291071,55161.57142857143,6188.537791588572
2013-02-23,90990.85714285714,39367.17513094856,44741.42857142857,5726.699952301428
2013-03-02,93390.28571428571,39533.98769047429,44113.142857142855,5571.795845167143
2013-03-09,95445.14285714286,39930.30973214,46404.42857142857,5648.121934447142
2013-03-16,98905.71428571429,37302.163535709995,53000.0,5618.7594285000005
2013-03-23,104263.14285714286,36254.884904758575,57633.0,5282.586868971429
2013-03-30,109831.14285714286,36740.30370237714,56763.28571428572,5564.22048802
2013-04-06,115020.42857142857,37004.943511902864,57529.71428571428,5503.175118964285
2013-04-13,120739.85714285714,35543.32563095,60060.57142857143,5236.627476111428
2013-04-20,124027.42857142857,34769.134065472856,47035.42857142857,5630.396505884286
2013-04-27,125519.71428571429,34938.87139880714,35684.857142857145,6254.821160631429
2013-05-04,125821.85714285714,35081.41322023714,31261.285714285714,6672.056851109999
2013-05-11,125294.85714285714,35507.27679761571,29560.85714285714,6790.309654674287
2013-05-18,124634.0,34812.270297615716,28570.714285714286,6572.321964204287
2013-05-25,124973.0,33830.19364242286,30565.85714285714,6195.840487595714
2013-06-01,127256.14285714286,34190.519458329996,43256.0,5738.195708261429
2013-06-08,128241.85714285714,34817.30856547428,35717.142857142855,5975.897851114286
2013-06-15,127749.0,35243.56698214,32073.85714285714,5872.167577314286
2013-06-22,127713.14285714286,35333.81913690143,31124.0,5552.818839214285
2013-06-29,127832.57142857143,34676.984178567145,33104.57142857143,5434.198880877142
2013-07-06,127373.14285714286,33465.65114880715,31375.571428571428,4630.816327324285
2013-07-13,125808.14285714286,34938.47358928429,25792.714285714286,4954.8618035128575
2013-07-20,123804.42857142857,34702.373440474286,24875.428571428572,5056.439690422857
2013-07-27,122322.0,34269.68177975857,25682.428571428572,5171.5756487571425
2013-08-03,120404.57142857143,35795.30754761571,22627.85714285714,5426.131416605714
2013-08-10,118057.0,35339.26240475858,19753.0,5457.897940421428
2013-08-17,115522.14285714286,35454.46095237714,18596.428571428572,5694.724285644285
2013-08-24,112422.0,35303.56242261572,17385.85714285714,5216.571172558572
2013-08-31,109293.85714285714,35632.57039285143,16868.428571428572,4639.257535662858
2013-09-07,106203.42857142857,35726.44673809143,16920.14285714286,5201.089178514287
2013-09-14,102569.14285714286,37262.29844642428,16264.857142857143,4566.245232079999
2013-09-21,99773.42857142857,36704.15538094858,18987.14285714286,5285.783952318571
2013-09-28,97474.0,36796.32603827857,21707.714285714286,5008.51651441
2013-10-05,96951.14285714286,35116.15321428286,29380.0,4689.345892801429
2013-10-12,95470.42857142857,36210.46790475714,23957.85714285714,4797.426357072857
2013-10-19,93664.14285714286,37290.01702380572,24155.85714285714,4909.00312620857
2013-10-26,91273.85714285714,36589.296369044285,21565.85714285714,4755.648868977143
2013-11-02,88991.85714285714,35684.554357140005,20480.428571428572,4746.794178502857
2013-11-09,87207.28571428571,37048.46821428286,23471.0,5194.172202312858
2013-11-16,84937.85714285714,37255.01273809143,22348.285714285714,5255.470357067142
2013-11-23,83435.85714285714,36764.69567261572,27805.285714285714,5268.719601112857
2013-11-30,83919.42857142857,38217.72796011715,36437.57142857143,4969.704983854285
2013-12-07,83872.0,37620.226017854286,38520.42857142857,4592.998279691429
2013-12-14,84292.28571428571,36361.106202377145,41817.28571428572,4537.288345171428
2013-12-21,85336.14285714286,33287.766553568574,42387.57142857143,3771.6902916228573
2013-12-28,86278.71428571429,35004.57860118572,38861.57142857143,3331.95380948
2014-01-04,85639.85714285714,39765.15537499714,32228.714285714286,3433.462529717143
2014-01-11,83802.85714285714,40253.84504166428,27055.85714285714,4347.452785655714
2014-01-18,83205.57142857143,39671.35354761571,28077.428571428572,4330.803934467143
2014-01-25,81925.57142857143,41512.93376190143,26886.571428571428,4546.982339218571
2014-02-01,78564.28571428571,42944.60105116428,20474.571428571428,5893.051628482857
2014-02-08,73917.14285714286,42707.66512499714,15898.714285714286,6227.860934454286
2014-02-15,71052.28571428571,39301.099363161426,22135.428571428572,6800.5526607157135
2014-02-22,70402.57142857143,40801.502635239995,28601.14285714286,6990.653867319999
2014-03-01,69744.71428571429,37373.16275595,29754.571428571428,6897.707577307143
2014-03-08,71349.42857142857,39674.1079750057,37090.28571428572,6763.318343977144
2014-03-15,71418.71428571429,41704.150821161435,32746.285714285714,6872.861565131428
2014-03-22,72020.42857142857,38549.75727380714,34514.57142857143,6852.8804939685715
2014-03-29,73077.57142857143,39266.33068452,33215.0,6644.323898711429
2014-04-05,73750.0,39004.657226188574,32042.714285714286,6727.670737997142
2014-04-12,74167.71428571429,36811.01570237857,32066.85714285714,6866.953142769999
2014-04-19,75617.28571428571,35715.69116666285,34299.71428571428,6892.58854753
2014-04-26,76338.0,34036.16473214,29438.571428571428,6692.746577295714
2014-05-03,76159.57142857143,36418.90725015714,23293.714285714286,7173.132164832858
2014-05-10,75228.85714285714,35052.436804662866,19991.14285714286,7392.55855249
2014-05-17,76579.85714285714,35912.70151278571,18711.571428571428,7390.507509225713
2014-05-24,75857.28571428571,34815.728292857144,24435.85714285714,7144.947760302858
2014-05-31,75900.42857142857,34569.41032020286,22942.571428571428,6871.261773622858
2014-06-07,75644.14285714286,35122.34935876143,28110.0,7078.045078027143
2014-06-14,75292.57142857143,33651.23613447143,22638.14285714286,6807.222657532859
2014-06-21,74733.42857142857,33891.83866963857,20070.571428571428,6905.226321350002
2014-06-28,73882.28571428571,34209.47083928143,18512.714285714286,6797.3151010957135
2014-07-05,72731.14285714286,34109.37522023428,16756.428571428572,6939.038523717143
2014-07-12,71661.57142857143,33976.61045237857,16522.14285714286,7067.17319038143
2014-07-19,70461.71428571429,34033.04672618571,17064.714285714286,7095.6078570485715
2014-07-26,69921.0,33640.24865475857,20192.428571428572,7291.910589181427
2014-08-02,69113.42857142857,34439.50596428429,17740.571428571428,7523.091452248571
2014-08-09,67491.57142857143,34474.688059521424,14944.714285714286,7905.815011792858
2014-08-16,65559.0,34699.08599090001,13889.285714285714,7611.744401511429
2014-08-23,63262.42857142857,35378.362835641434,12813.0,7533.597490284286
2014-08-30,60746.142857142855,35260.344976187145,12889.142857142857,7263.741714194286
2014-09-06,58500.28571428572,35559.17501785285,13524.42857142857,7089.226535615715
2014-09-13,55760.0,36445.48223809285,11747.857142857143,6948.861964181429
2014-09-20,52989.857142857145,36075.04829166286,13933.714285714286,6955.031112985714
2014-09-27,51132.0,36680.327749997145,21927.0,6813.582297512857
2014-10-04,49284.857142857145,35311.346702377145,17213.571428571428,7069.10748799
2014-10-11,46147.42857142857,39048.89430952,11260.57142857143,7084.571601085714
2014-10-18,42588.0,37274.07543089857,10120.42857142857,7095.059916031429
2014-10-25,39429.857142857145,36260.673678567146,11604.714285714286,7017.106357030001
2014-11-01,36681.0,37881.07471428286,13563.857142857143,6786.204362978571
2014-11-08,34305.857142857145,36784.11432142714,17298.428571428572,6953.338696320001
2014-11-15,33075.42857142857,34521.033315472865,17964.0,7078.539910608571
2014-11-22,31239.0,37181.24523809143,19404.571428571428,7360.45105347
2014-11-29,32375.571428571428,36614.822833331425,30666.571428571428,7399.956214177143
2014-12-06,32963.42857142857,36905.94781547286,30489.714285714286,7346.031666555716
2014-12-13,34226.142857142855,36384.81166071,33909.57142857143,7551.056964175715
2014-12-20,36516.42857142857,34052.40448637715,38113.142857142855,7300.635462475714
2014-12-27,39202.28571428572,34973.33495832999,35461.28571428572,7296.830345138572
2015-01-03,39860.857142857145,39016.76850594999,27494.428571428572,7113.338386819999
2015-01-10,38790.71428571428,42603.02864285429,22023.714285714286,6561.999767771427
2015-01-17,36365.28571428572,42644.26441071,16996.428571428572,6641.649309441428
2015-01-24,34954.28571428572,40352.742797617146,18432.85714285714,6806.840720142857
2015-01-31,34347.42857142857,39508.131064937144,22858.0,6946.451476107143
2015-02-07,35575.142857142855,39290.81472623857,33852.42857142857,6857.233450377143
2015-02-14,38204.142857142855,37251.743489104294,37303.71428571428,7260.60184516
2015-02-21,41168.857142857145,40638.604320115715,40280.28571428572,7144.391220152857
2015-02-28,42846.142857142855,39369.83828539715,33518.28571428572,7240.94883915143
2015-03-07,44790.71428571428,38599.30350595,36997.28571428572,7128.759601101429
2015-03-14,48828.71428571428,38187.66911904572,44771.42857142857,6360.713976095714
2015-03-21,54129.57142857143,37153.06003571143,49244.857142857145,6811.438083241427
2015-03-28,58132.0,36828.92550594858,44331.0,7011.254922530001
2015-04-04,61581.857142857145,35916.143065944285,40064.28571428572,7227.146142440001
2015-04-11,63877.71428571428,36750.83586029428,34918.857142857145,7079.917938697143
2015-04-18,65383.71428571428,35785.45663095,33165.71428571428,7341.268666551428
2015-04-25,67774.42857142857,33572.67144642429,32635.285714285714,7003.133868945714
2015-05-02,69294.14285714286,33573.06002380714,29970.285714285714,7341.44122013
2015-05-09,71071.57142857143,33205.81014285285,32537.428571428572,7476.480737977144
2015-05-16,72536.0,33231.29026190143,29902.85714285714,7635.979428461427
2015-05-23,72828.57142857143,34322.700863092854,26283.571428571428,7356.5736189214285
2015-05-30,73486.71428571429,32257.86771965286,26791.285714285714,6831.100844545714
2015-06-01,73755.0,31933.17413632,26374.714285714286,7067.151719544286
2015-06-06,74188.42857142857,33231.16367261571,24778.14285714286,7363.201839171429
2015-06-13,73975.0,33232.63759523571,22103.571428571428,7384.400077271429
2015-06-20,73727.42857142857,31770.627982140002,20775.571428571428,7563.544327265714
2015-06-27,73485.42857142857,31955.95373809143,19587.85714285714,7604.768857032858
2015-07-04,73805.28571428571,31963.14806547286,28218.85714285714,7493.455309414286
2015-07-11,74937.42857142857,33161.91023213857,30330.14285714286,6251.695880858571
2015-07-18,75920.85714285714,32927.85438690143,27147.428571428572,5964.725339185715
2015-07-25,76191.28571428571,33121.76491071,22363.85714285714,6241.982785612857
2015-08-01,75740.57142857143,33764.880369042854,18912.0,6293.59205940143
2015-08-08,74518.85714285714,33849.90357737857,16079.285714285714,6245.589607031428
2015-08-15,72953.42857142857,34439.744077531424,14666.285714285714,6573.3235952800005
2015-08-22,71037.0,34266.04639880571,14132.57142857143,7181.6159820428575
2015-08-29,69330.71428571429,34489.267702378565,14363.57142857143,7353.5416308514295
2015-09-05,67934.85714285714,33163.32771428,17786.85714285714,7153.487982042859
2015-09-12,69037.57142857143,35003.610023807145,29711.571428571428,7209.872011797142
2015-09-19,67837.0,37624.228047617136,20958.714285714286,7223.8183391785715
2015-09-26,65864.71428571429,36540.919714282856,17655.14285714286,7332.083868942857
2015-10-03,63941.42857142857,36235.35691666285,19564.714285714286,7399.81265465
2015-10-10,61766.142857142855,36656.194452378564,21774.85714285714,7220.415803461428
2015-10-17,59359.42857142857,37645.20766925143,17673.428571428572,7149.770206660001
2015-10-24,57211.71428571428,35882.89589880571,17150.714285714286,7055.557023695715
2015-10-31,56156.0,35516.23842856857,21702.0,6408.8178987
2015-11-07,56004.857142857145,37103.92740475714,25880.0,6757.906601090001
2015-11-14,55140.57142857143,37066.12987499715,24161.285714285714,6814.632428467143
2015-11-21,55669.42857142857,36118.89272023428,27910.85714285714,6733.660880852856
2015-11-28,56223.28571428572,36201.01349404429,32650.14285714286,7139.782202281428
2015-12-05,57448.57142857143,36502.93122023429,34361.0,6598.72443441857
2015-12-12,58408.71428571428,38240.97705952143,32499.0,6330.38916657
2015-12-19,59016.857142857145,36019.004130948575,30362.0,6048.814553482857
2015-12-26,60117.142857142855,34442.682164678576,32149.85714285714,4821.748851118572
2016-01-02,62248.28571428572,36265.28621284429,38934.57142857143,5581.379815398572
2016-01-09,65756.71428571429,38242.217176392856,50267.42857142857,6006.251892790001
2016-01-16,76923.28571428571,35315.05839384285,81029.85714285714,5000.451601121428
2016-01-23,85896.57142857143,37654.96776066143,76273.57142857143,4995.150773738571
2016-01-30,91608.71428571429,39941.29675163572,63367.28571428572,4548.213107078571
2016-02-06,95249.14285714286,37879.491245818564,49384.71428571428,4905.4788511285715
2016-02-13,98492.28571428571,40016.13750369571,48176.857142857145,4971.056785638572
2016-02-20,101842.57142857143,39746.542036384286,45904.28571428572,4695.500779690001
2016-02-27,104038.85714285714,38510.26266601429,48753.71428571428,3679.957839224286
2016-03-05,108086.0,39000.721433158564,51189.142857142855,3695.240654698571
2016-03-12,113010.14285714286,37926.00540910572,55508.0,2974.3671547014287
2016-03-19,115314.85714285714,38022.56668544428,46200.0,3370.3936427985714
2016-03-26,117853.57142857143,38792.27283975285,45813.42857142857,3344.1642677842856
2016-04-02,119270.14285714286,39264.02741727,40022.857142857145,3699.927232067143
2016-04-09,119079.28571428571,39515.417072637145,32893.0,3984.3769846299992
2016-04-16,118161.28571428571,38347.90520287143,28564.285714285714,3676.67440193
2016-04-23,117369.28571428571,36596.13299179858,28059.14285714286,3761.132053485714
2016-04-30,117234.0,33404.58032884571,28966.714285714286,4136.668773714286
2016-05-07,116327.14285714286,35286.78054761571,30183.0,3500.0637975414284
2016-05-14,115226.14285714286,34304.370184520005,29815.428571428572,3647.760535640001
2016-05-21,115645.85714285714,33230.01889880571,31694.285714285714,3815.161827297143
2016-05-28,115631.28571428571,34493.33985713857,31147.714285714286,3239.0234463557144
2016-06-04,115702.42857142857,34313.22548213857,29429.428571428572,4763.877023720001
2016-06-11,115878.0,32143.26667261572,33971.0,3411.102589202857
2016-06-18,115374.0,32751.93532737571,31953.571428571428,3145.6831725442858
2016-06-25,114457.28571428571,32545.184988091427,27040.571428571428,3746.815720158571
2016-07-02,113202.71428571429,33171.69551785285,23866.85714285714,3208.970255877143
